month,total_sales,total_orders,avg_order_value
2010-02,190332983.04,11839,16076.778701
2010-03,181919802.50,11788,15432.626612
2010-04,231412368.05,14697,15745.551340
2010-05,186710934.34,11672,15996.481695
2010-06,192246172.36,11661,16486.250953
2010-07,232580125.98,14561,15972.812718
2010-08,187640110.89,11603,16171.689295
2010-09,177267896.37,11724,15120.086691
2010-10,217161824.02,14667,14806.151498
2010-11,202853370.14,11712,17320.130647
2010-12,288760532.72,14755,19570.351252
2011-01,163703966.83,11695,13997.773991
2011-02,186331327.87,11741,15870.141203
2011-03,179356448.29,11813,15182.972005
2011-04,226526510.97,14746,15361.895495
2011-05,181648158.16,11820,15367.864481
2011-06,189773385.19,11723,16188.124643
2011-07,229911398.87,14621,15724.738313
2011-08,188599332.25,11765,16030.542478
2011-09,220847738.42,14761,14961.570247
2011-10,183261283.15,11820,15504.338676
2011-11,210162354.87,11901,17659.218122
2011-12,288078102.48,15047,19145.218481
2012-01,168894471.66,11850,14252.698030
2012-02,192063579.54,11946,16077.647710
2012-03,231509650.49,14850,15589.875454
2012-04,188920905.95,11889,15890.394983
2012-05,188766479.45,11822,15967.389566
2012-06,240610329.29,14753,16309.247563
2012-07,187509452.40,11798,15893.325343
2012-08,236850765.68,14801,16002.348874
2012-09,180645544.47,11854,15239.205709
2012-10,184361680.42,11875,15525.194141
